size time0 error0 time1 error1 time2 error2
80000 6.542490005493164 228052.9253535409 6.631573915481567 229723.1404183085 6.710062026977539 228597.89415587272
160000 6.992480993270874 444449.81289579073 7.255120038986206 532301.4078822114 6.911144971847534 450155.9960704904
240000 7.31821084022522 796854.9357568683 7.376569986343384 784831.5022832459 7.323570966720581 680174.9456673588
320000 7.2339208126068115 857300.8489569401 7.4407289028167725 870228.9471705104 7.343049049377441 850408.0706338193
400000 7.595201015472412 1108145.929078519 7.618089914321899 1207146.700376279 7.500469923019409 1198586.8744166673
480000 7.798296928405762 1324118.3765978853 7.827936887741089 1327998.7396578244 7.669636011123657 1191502.7043013405
560000 7.695487976074219 1473159.2603246698 7.844322919845581 1498522.847313049 8.008089065551758 1515278.5116099822
640000 8.102821111679077 1732236.3442736664 7.893117904663086 1701308.7807710746 7.74196195602417 1683694.7991537568
720000 8.252929925918579 2604023.7922128513 8.15088701248169 1890164.3968539576 7.920284032821655 1930670.7232570422
800000 8.303630113601685 2141113.046705434 8.187068939208984 2124387.468926475 8.176900148391724 2121002.4257863606
880000 8.300348043441772 2324300.412680991 8.337915182113647 2337554.946528671 8.595169067382812 2324465.2342281323
960000 8.477007150650024 2805765.394640246 8.758563995361328 2656308.7546108705 8.635613918304443 2503375.125465532
1040000 8.773185968399048 3060736.805562706 8.794545888900757 2764946.960604124 8.996594905853271 3046954.2512224484
1120000 8.813894033432007 3119969.5834093085 9.075010061264038 3161697.9160890025 9.146967887878418 3062317.338075289
1200000 8.951181888580322 3391251.9690461634 8.993730068206787 3600777.387423874 8.854686975479126 3260383.6693292293
1280000 9.2084379196167 3746647.375725019 9.186366081237793 3371257.274666581 9.179054975509644 3825674.398484186
1360000 9.106662034988403 4027676.238804442 9.471917152404785 4051192.2622037935 9.349763870239258 4045068.708522763
1440000 9.54428505897522 3716296.205701561 9.359298944473267 4213929.113141454 9.387950897216797 3958531.632976254
1520000 9.847906112670898 4096861.413671667 9.667638778686523 4080549.797595868 9.91994595527649 3970177.085371055
1600000 9.910070180892944 4638186.067342919 9.719383001327515 4354559.81401565 9.7587730884552 4246306.467381915
1680000 9.962685823440552 4993630.027235914 9.929501056671143 5074397.74568451 10.028764009475708 4635215.169989781
1760000 10.070401906967163 4774803.183896251 10.74589991569519 4596386.870038422 10.133862018585205 4750753.951870726
1840000 10.834691047668457 4993630.739630723 9.84996485710144 5060859.927564562 10.1019868850708 4846301.959614112
1920000 10.272278070449829 5217855.703000477 10.132687091827393 5106858.211409571 10.39077615737915 5019630.5895128455
2000000 10.758781909942627 5302930.116518297 10.819782972335815 5288858.590728364 10.54396390914917 5412477.506291945
