size time0 error0 time1 error1 time2 error2
80000 8.498252868652344 238262.6004626764 8.377066850662231 229368.2177058382 8.592105865478516 240320.7103614185
160000 8.721632957458496 440076.6438826204 8.832860946655273 464247.23482401145 8.894001960754395 441306.121298839
240000 9.424962997436523 669157.8307469931 9.46698784828186 720739.1886704996 9.00587511062622 664402.4278655605
320000 9.56183385848999 867440.6093272788 9.693733930587769 872278.5476483653 9.235301971435547 984652.4481649969
400000 9.584331035614014 1202910.8597169896 9.63357400894165 1078756.3587137887 9.459950923919678 1039782.1320977061
480000 10.458911180496216 1232971.3529814705 10.17307996749878 1220151.860542754 10.388248920440674 1303524.30662188
560000 10.40123701095581 1685901.0258625268 10.170231103897095 1510159.1057510122 10.278537034988403 1597098.20212794
640000 10.540300846099854 2209748.2226399533 10.654441833496094 1943747.3414228202 10.46101188659668 1694575.7880907462
720000 10.709502935409546 1915274.357943079 10.197106838226318 2028118.817630082 10.842176914215088 1845721.2479960474
800000 11.284362077713013 2453003.4778795135 10.782801866531372 2234477.5441065915 11.336854934692383 2184502.450115666
880000 11.180145978927612 2321165.6482946356 11.853286027908325 2274280.4321242543 11.355078935623169 2587395.8672613148
960000 11.644935846328735 2535471.3709820607 11.498809814453125 2529383.033978343 11.868407964706421 2656162.1588350097
1040000 11.43172287940979 2781671.3569610855 11.073615789413452 2824757.304276851 11.698137998580933 2802473.4213991775
1120000 11.93097996711731 2990416.330151347 11.827949047088623 3094138.40302725 12.216917991638184 3071986.902859307
1200000 12.128440141677856 3184686.0773146264 12.2516610622406 3189574.336791712 11.616119146347046 3342504.8030825276
1280000 12.362926959991455 3368635.165661207 12.359845161437988 3397004.9910828792 12.471725940704346 3476460.5105342492
1360000 12.841578006744385 3602175.038320916 12.822147130966187 4029581.2776851268 12.537022113800049 3644955.173308078
1440000 12.969235897064209 4227094.3421429405 12.54867696762085 3750369.3264878634 12.973069906234741 3825924.7610949897
1520000 13.616276025772095 4071631.170941967 13.372884035110474 4268679.446408532 13.141263008117676 4492171.730048363
1600000 13.217890977859497 4788313.081894203 13.324514865875244 4255660.179148405 13.48569107055664 4178622.840404528
1680000 13.616000890731812 4666185.022751554 13.913874864578247 4494388.649074819 13.620974063873291 4490706.622877531
1760000 13.998714923858643 4882013.515876044 13.887614011764526 4850523.042773685 13.664964199066162 4670242.773603185
1840000 14.284605979919434 5037640.572161487 14.473741054534912 4877959.243015143 14.35802412033081 5018698.415621351
1920000 14.13031792640686 5191053.8161098575 14.041343927383423 5213208.933689429 14.709196090698242 5692591.158545834
2000000 15.301820039749146 5534438.776638463 14.616221904754639 5546438.728497879 14.508142948150635 5285987.343344043
