size time0 error0 time1 error1 time2 error2
80000 7.424451112747192 227237.83489686297 7.324312925338745 231482.96289267225 7.2636659145355225 233137.0526929449
160000 7.824298858642578 432999.78524083906 7.884883880615234 466545.23661083105 7.734791040420532 439466.0910729067
240000 8.061558961868286 709480.1000904412 7.861694097518921 668139.2873621102 7.917696952819824 724416.636158048
320000 8.263340950012207 903935.5630569088 7.932585000991821 849836.0699326583 8.14529013633728 859656.1742550276
400000 8.293339967727661 991640.3638525177 8.36076807975769 1209485.358727567 8.43311595916748 1031102.6017969013
480000 8.46133017539978 1286623.0803625502 8.67103099822998 1627367.0569527165 8.34394097328186 1392658.1225169857
560000 8.531054973602295 1655858.8300368257 8.921344995498657 1552336.9381037164 8.682423114776611 1502019.8092754402
640000 9.080770015716553 1829737.8370919973 9.162883996963501 1785405.9058304639 8.860818862915039 1702867.6451706977
720000 8.778923988342285 2200349.4360755915 8.891296148300171 1852685.1450832419 8.89634895324707 2012642.9110205162
800000 8.753535985946655 2146532.6145636276 9.572202920913696 2115195.2071448653 8.891587018966675 2136915.423992805
880000 9.027337074279785 2400899.2129918244 8.994232892990112 2426672.41912086 9.291275978088379 2560169.9617176224
960000 9.71330189704895 2580738.8423748706 9.268902063369751 2657925.536057918 9.606815099716187 2508224.680451113
1040000 9.495290994644165 3515906.0509588746 9.501529932022095 2787101.508597788 9.25280213356018 2738124.070860017
1120000 9.917594909667969 3325465.5318114082 9.78411602973938 3386540.0244268314 10.127866983413696 3381707.282283452
1200000 10.255622863769531 3498716.0180538865 10.189610958099365 3384554.4300480625 9.976965188980103 3175866.1983027314
1280000 10.033805131912231 3434417.0663500046 9.807991981506348 4379363.757733511 10.075083017349243 3415514.330411696
1360000 10.675347089767456 3672662.906875066 10.115777015686035 3876722.791827155 10.467103958129883 3744143.482085998
1440000 10.366069078445435 3898377.837657232 10.509301900863647 4227665.785243156 10.086118936538696 3752704.540374185
1520000 10.460772037506104 4481581.3789247535 10.357417821884155 4160107.0828666976 10.334191083908081 4395972.894334267
1600000 10.416435956954956 4326736.848934064 10.352608919143677 4457976.159653408 10.261560916900635 4260618.084736843
1680000 10.430248022079468 4604991.442161803 10.549138069152832 4678406.395762402 10.913823127746582 4553042.932325976
1760000 10.68482494354248 4834565.77729059 10.84620189666748 5219507.970526746 10.839219093322754 4861343.128445726
1840000 11.095575094223022 5417493.934196349 10.89864206314087 5509371.714524896 10.763530969619751 4964930.051542198
1920000 11.435546875 5134493.397064874 11.144147872924805 6331235.463364312 11.121315002441406 5318911.909818652
2000000 11.990770816802979 5291261.947287008 11.903356075286865 5171736.183021914 11.272279024124146 5271453.998975012
