size time0 error0 time1 error1 time2 error2
80000 7.108062028884888 305215.33651886764 6.8536858558654785 231325.10463144365 6.68271017074585 230502.86184142117
160000 7.3188300132751465 453880.08766999695 7.2268218994140625 469621.6912565911 7.323598146438599 447667.6193492402
240000 7.4676361083984375 659472.9408355191 7.340080976486206 678344.5249347134 7.33827805519104 722841.0051183274
320000 7.370113134384155 871164.4665871423 7.682085037231445 971989.4298139162 7.464855909347534 852355.102007452
400000 7.797317028045654 1168601.7555652757 7.982787132263184 1036281.3835487058 7.7693259716033936 1122221.2640042207
480000 7.853353977203369 1225432.3975932545 7.9359190464019775 1322202.2043727052 7.713940858840942 1190647.9042519515
560000 7.9629130363464355 1593441.2995330784 7.9229559898376465 1471544.7477316856 8.013397932052612 1499310.5584111393
640000 7.987107992172241 1678926.1471602884 8.133934020996094 1941864.354740084 8.06922197341919 1803268.6897215971
720000 8.456346035003662 1992677.1799670286 8.218999147415161 1964273.1951023142 8.066092014312744 1930298.6714801698
800000 8.450163125991821 2110530.461118707 8.600342035293579 2205761.202185827 8.755964994430542 2123817.8935566
880000 8.564696073532104 2272201.5907434924 8.61702299118042 2344939.843113463 8.852934122085571 2347952.3912526784
960000 8.88799786567688 3567018.1069303066 8.986480951309204 2617461.409658558 8.802111864089966 2598727.998496085
1040000 9.055582046508789 3099696.035823985 8.67252802848816 3025526.9809465962 8.874593019485474 2856735.3299678317
1120000 9.21130895614624 2976701.5592249907 9.39540982246399 3043398.387765743 9.005876064300537 3305475.2134133074
1200000 9.279245853424072 3521398.3389280564 9.308001041412354 3460308.340169734 9.439005136489868 3170557.068858733
1280000 9.274926900863647 3715368.871963201 9.452331781387329 3404239.824343174 9.298228025436401 3324611.9548525754
1360000 9.220785140991211 3587725.6885528695 9.585994958877563 3578936.3492011367 9.573883056640625 3561147.5675852904
1440000 9.651272058486938 3775134.805555521 9.607883930206299 3749153.967968295 9.608854055404663 3769694.1483957767
1520000 9.674419164657593 3956158.241317707 9.786439895629883 4237484.614547769 9.97707486152649 4046996.7978926017
1600000 10.28032898902893 4648271.440782772 9.869663953781128 4386900.217441822 10.584182024002075 4249623.724171946
1680000 10.774863004684448 4526522.025720049 10.25754690170288 4560484.131961916 10.268939018249512 4543640.754764794
1760000 10.814058065414429 4662435.999824422 10.459320068359375 4915654.910440266 10.64867901802063 5158837.52906115
1840000 10.615377187728882 4989686.061138118 10.626636981964111 5541909.0632350715 10.939627170562744 5131244.317231187
1920000 11.294196128845215 5044887.792602721 11.440459966659546 5406304.037322126 11.402858972549438 5032334.35499149
2000000 11.675538063049316 5859869.30009797 11.873416185379028 5597191.920711818 11.327071189880371 5403384.4097134
